stamp,pwm,velocity,steering_angle,distance,has_target,target_center_offset,control
1734795512.3934216,718281,1.9784258604049683,598540,0.5344982147216797,True,11,718281.625
1734795512.4622548,718878,2.4030027389526367,582016,0.5095356106758118,True,9,718878.5625
1734795512.5323632,585000,2.686836004257202,584280,0.48273301124572754,True,9,585000.0
1734795512.602344,660000,2.0391879081726074,588804,0.46083706617355347,True,12,660000.0
1734795512.6728554,715004,1.753013014793396,588828,0.4362015724182129,True,12,715004.8125
1734795512.742811,585000,3.0195889472961426,583620,0.44977664947509766,True,10,585000.0
1734795512.813234,715000,1.9137204885482788,584367,0.4719997048377991,True,9,715000.0
1734795513.0017676,715096,1.7009044885635376,584420,0.4529455304145813,True,9,715096.8125
1734795513.1292179,715382,3.396419048309326,585959,0.22620564699172974,True,10,715382.0625
1734795513.2837455,585000,2.215250253677368,583751,0.41878294944763184,True,10,585000.0
1734795513.4226642,715000,1.913102388381958,598022,0.41005319356918335,True,9,715000.0
1734795513.511109,715054,0.0,584557,0.4128131866455078,True,9,715054.75
1734795513.7173936,715330,1.7011457681655884,575585,0.44638288021087646,True,3,715330.625
1734795513.8915582,715743,2.077056884765625,575598,0.46758371591567993,True,3,715743.9375
1734795514.3060699,716131,2.7816267013549805,561342,0.4756183624267578,True,-5,716131.125
1734795514.439869,716373,2.799793243408203,562050,0.4573819637298584,True,-6,716373.5625
1734795514.6248653,585000,3.1133997440338135,547755,0.4634539484977722,True,-11,585000.0
1734795515.3772285,715000,0.4672412574291229,547432,0.7398825883865356,True,-17,715000.0
1734795516.0536697,718458,1.7486021518707275,544038,0.9628491401672363,True,-19,718459.0
1734795516.3956697,721435,2.73478627204895,552863,0.8589098453521729,True,-13,721435.0625
1734795516.721152,585000,3.609924793243408,564041,0.717761754989624,True,-4,585000.0
1734795516.904809,660000,2.7806484699249268,573044,0.7657651901245117,True,2,660000.0
1734795517.0628088,715000,1.5742907524108887,579068,0.7440941333770752,True,6,715000.0
